============================================================
                  驾驶员监控会话报告
============================================================
 报告生成时间: 2026-05-11 00:00:44
 本次驾驶总长: 13 分 55 秒
------------------------------------------------------------
 疲劳事件触发: 213 次
 分心事件触发: 364 次
------------------------------------------------------------
【事件追溯 / Event Tracking】
 56. 2026-05-10 23:48:43 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 57. 2026-05-10 23:48:45 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 58. 2026-05-10 23:48:47 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 59. 2026-05-10 23:48:49 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 60. 2026-05-10 23:48:51 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 61. 2026-05-10 23:48:53 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 62. 2026-05-10 23:48:56 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 63. 2026-05-10 23:48:58 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 64. 2026-05-10 23:49:00 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 65. 2026-05-10 23:49:02 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 66. 2026-05-10 23:49:04 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 67. 2026-05-10 23:49:06 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 68. 2026-05-10 23:49:08 | [一般] 行为: 打电话      | 疲劳: 人员特征未对齐/光线过暗
 69. 2026-05-10 23:49:10 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 70. 2026-05-10 23:49:12 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 71. 2026-05-10 23:49:14 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 72. 2026-05-10 23:49:16 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 73. 2026-05-10 23:49:18 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 74. 2026-05-10 23:49:20 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 75. 2026-05-10 23:49:22 | [一般] 行为: 打电话      | 疲劳: 人员特征未对齐/光线过暗
 76. 2026-05-10 23:49:24 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 77. 2026-05-10 23:49:26 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 78. 2026-05-10 23:49:28 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 79. 2026-05-10 23:49:30 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 80. 2026-05-10 23:49:32 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 81. 2026-05-10 23:49:34 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 82. 2026-05-10 23:49:36 | [一般] 行为: 打电话      | 疲劳: 人员特征未对齐/光线过暗
 83. 2026-05-10 23:49:38 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 84. 2026-05-10 23:49:40 | [一般] 行为: 打电话      | 疲劳: 人员特征未对齐/光线过暗
 85. 2026-05-10 23:49:42 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 86. 2026-05-10 23:49:45 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 87. 2026-05-10 23:49:47 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
